State/ Territory1,Postcode,"Number of individuals
no.","Taxable income or loss3
no.","Taxable income or loss3
$","Gross tax
no.","Gross tax
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Net tax
no.","Net tax
$","HELP assessment debt
no.","HELP assessment debt
$","Salary or wages
no.","Salary or wages
$","Allowances earnings tips directors fees etc
no.","Allowances earnings tips directors fees etc
$","Employer lump sum payments amount A
no.","Employer lump sum payments amount A
$","Employment termination payments taxable component
no.","Employment termination payments taxable component
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Australian government pensions and allowances
no.","Australian government pensions and allowances
$","Australian annuities and superannuation income streams taxable component taxed element
no.","Australian annuities and superannuation income streams taxable component taxed element
$","Australian annuities and superannuation income streams taxable component untaxed element
no.","Australian annuities and superannuation income streams taxable component untaxed element
$","Gross interest
no.","Gross interest
$","Dividends unfranked
no.","Dividends unfranked
$","Dividends franked
no.","Dividends franked
$","Dividends franking credit
no.","Dividends franking credit
$","Total Income or Loss3
no.","Total Income or Loss3
$","Total work related car expenses
no.","Total work related car expenses
$","Work related travel expenses
no.","Work related travel expenses
$","Total work related uniform/clothing expenses
no.","Total work related uniform/clothing expenses
$","Total work related self education expenses
no.","Total work related self education expenses
$","Other work related expenses
no.","Other work related expenses
$","Low value pool deduction
no.","Low value pool deduction
$","Interest deductions
no.","Interest deductions
$","Dividend deductions
no.","Dividend deductions
$","Gifts or donations
no.","Gifts or donations
$","Cost of managing tax affairs
no.","Cost of managing tax affairs
$","Total deductions3
no.","Total deductions3
$","Total reportable fringe benefits amount
no.","Total reportable fringe benefits amount
$","Reportable employer superannuation contributions
no.","Reportable employer superannuation contributions
$","Net primary production distribution
no.","Net primary production distribution
$","Net non primary production distribution
no.","Net non primary production distribution
$","Share of franking credit from franked dividends
no.","Share of franking credit from franked dividends
$","Net PSI transferred
no.","Net PSI transferred
$","Deferred non-commercial business losses primary production deferred losses
no.","Deferred non-commercial business losses primary production deferred losses
$","Deferred non-commercial business losses non primary production deferred losses
no.","Deferred non-commercial business losses non primary production deferred losses
$","Capital gains net capital gain
no.","Capital gains net capital gain
$","Estimated tax on net capital gains
no.","Estimated tax on net capital gains
$","Capital gains total current year capital gains
no.","Capital gains total current year capital gains
$","Capital gains net capital losses carrier forward
no.","Capital gains net capital losses carrier forward
$","Foreign source income assessable foreign source income
no.","Foreign source income assessable foreign source income
$","Foreign source income other net foreign source income
no.","Foreign source income other net foreign source income
$","Foreign source income foreign income tax offset
no.","Foreign source income foreign income tax offset
$","Gross rent
no.","Gross rent
$","Rent interest deductions
no.","Rent interest deductions
$","Rent capital works deductions
no.","Rent capital works deductions
$","Rent other rental deductions
no.","Rent other rental deductions
$",Net rent - profit no.,Net rent - profit $,"Net rent - loss 
no.","Net rent - loss 
$","Net rent3
no.","Net rent3
$","Other income category 1
no.","Other income category 1
$","Other income category 2
no.","Other income category 2
$","Personal superannuation contributions
no.","Personal superannuation contributions
$","Other deductions
no.","Other deductions
$","Total business income - primary production
no.","Total business income - primary production
$","Total business income non-primary production
no.","Total business income non-primary production
$","Total business income3
no.","Total business income3
$","Total business expenses3
no.","Total business expenses3
$",Net income or loss - primary production no.,Net income or loss - primary production $,Net income or loss from business - primary production no.,Net income or loss from business - primary production $,Net income or loss from business - non-primary production no.,Net income or loss from business - non-primary production $,"Estimated business net tax
no.","Estimated business net tax
$","Australian superannuation income stream tax offset
no.","Australian superannuation income stream tax offset
$","Total net medical expenses tax offset
no.","Total net medical expenses tax offset
$","Low income tax offset
no.","Low income tax offset
$"," People with private health insurance
no. ","Tax withheld from salary or wages
no.","Tax withheld from salary or wages
$"
ACT,2600,"5,592","5,541","565,588,274","4,885","163,954,283","4,341","10,491,506",113,"161,716","4,664","169,701,677",339,"1,463,835","3,800","331,399,606",655,"4,062,844",82,"2,584,958",62,"1,428,328",146,"877,840",169,"1,370,090",161,"1,766,173","1,022","47,774,088","4,024","11,651,470",802,"1,251,045","2,210","30,022,311","2,205","12,864,201","5,562","594,869,055","1,019","2,645,719",477,"824,996",948,"277,564",321,"917,018","2,399","3,296,863",309,"224,748",272,"743,581",359,"1,958,068","2,519","4,595,152","2,647","3,483,089","4,560","28,334,633",367,"6,455,746",906,"13,278,805",45,"39,197","1,388","65,469,515",727,"7,652,606",36,"2,006,698",5,"239,511",75,"2,220,516",686,"42,546,159",612,"17,320,768",949,"89,962,270",878,"60,240,161",721,"4,514,171",624,"1,795,259",569,"780,615","1,565","42,268,655","1,254","21,766,743",968,"3,986,026","1,574","24,281,475",601,"6,242,259",979,"-14,007,848","1,580","-7,765,589",426,"1,439,236",120,"759,341",272,"7,475,289",413,"1,813,798",20,"497,155",398,"69,180,895",416,"69,678,050",410,"34,516,025",27,"-354,029",423,"31,338,737",446,"30,984,708",280,"12,061,834",909,"4,105,628",188,"228,538","1,908","548,535","4,532","3,665","101,405,483"
ACT,2601,"2,792","2,762","181,544,596","2,034","45,335,816","1,703","3,176,065",73,"88,021","1,926","47,391,002",271,"1,243,173","2,285","150,532,915",332,"2,191,506",40,"1,129,362",33,"746,906",194,"1,280,145",50,"357,478",46,"377,313",200,"8,194,050","1,872","3,781,960",191,"762,067",497,"4,478,065",497,"1,918,821","2,761","188,878,160",401,"983,915",273,"470,309",552,"169,899",209,"550,749","1,109","1,390,285",141,"146,286",69,"110,330",71,"347,502",831,"1,070,493",914,"516,841","1,815","7,030,838",146,"3,174,364",266,"2,626,835",9,"17,732",266,"5,342,905",147,"673,930",12,"123,274",2,"11,386",36,"261,559",165,"3,583,469",141,"1,245,951",214,"10,947,132",216,"5,193,626",186,"1,729,177",153,"459,020",141,"208,901",570,"13,918,710",458,"6,969,054",376,"1,636,178",572,"7,752,878",202,"1,827,699",370,"-4,267,099",572,"-2,439,400",122,"46,804",29,"26,842",34,"895,874",119,"368,098",9,"393,164",135,"8,977,088",144,"9,370,252",140,"5,718,956",10,"-198,639",141,"3,567,553",151,"3,368,914",83,"1,099,452",167,"659,393",23,"25,202",850,"254,413","1,587","2,229","43,561,012"
ACT,2602,"19,096","19,029","1,303,424,567","16,234","302,209,555","14,377","23,514,522",427,"562,308","15,319","312,556,127","1,516","6,109,293","15,313","1,053,243,090","2,203","7,411,555",325,"9,877,883",222,"3,722,203","1,196","7,442,468",904,"8,010,276",522,"4,754,045","2,309","86,195,220","12,850","23,138,665","1,691","1,482,361","5,303","31,977,726","5,293","13,674,467","19,051","1,350,644,210","3,710","7,476,927","1,642","1,808,849","4,198","1,107,772","1,157","2,492,023","9,073","9,255,620",920,"617,230",498,"793,088",638,"1,987,894","8,482","7,809,175","7,662","3,501,518","14,981","46,154,136",924,"16,700,400","2,390","24,695,935",59,"-1,065,295","2,469","44,916,978","1,356","4,529,344",138,"3,303,427",24,"687,060",266,"2,326,765","1,396","15,899,460","1,184","4,323,988","1,874","39,322,720","1,633","42,396,847","1,728","8,711,989","1,480","3,822,126","1,366","1,048,281","3,556","72,800,975","2,935","38,941,115","2,135","6,749,083","3,599","40,864,462","1,275","10,588,595","2,331","-24,342,280","3,611","-13,753,685",890,"946,895",240,"627,843",290,"7,089,687",931,"2,090,078",66,"1,031,682","1,264","73,558,140","1,327","74,589,822","1,304","45,201,772",84,"-386,960","1,350","27,782,558","1,426","27,395,598",796,"6,957,148","1,850","6,549,440",403,"423,186","7,683","2,312,033","13,055","14,967","288,632,965"
ACT,2603,"6,305","6,270","706,236,866","5,556","213,104,681","4,998","13,243,433",124,"164,063","5,304","223,719,827",486,"2,113,416","4,601","400,241,885",769,"6,826,877",95,"3,875,081",68,"2,643,816",241,"1,404,697",155,"1,461,706",152,"2,066,398",790,"37,445,727","4,435","13,461,884",840,"1,428,731","2,308","43,710,346","2,305","18,750,447","6,284","738,987,962","1,254","3,411,853",526,"775,918","1,166","345,961",357,"1,023,220","2,776","3,662,483",343,"247,035",275,"993,657",354,"2,927,607","2,712","6,759,709","2,791","2,210,604","5,093","31,959,864",449,"8,177,156","1,003","14,593,422",49,"-346,235","1,610","102,874,759",854,"14,398,668",45,"2,316,176",9,"423,572",81,"1,724,901",748,"49,664,022",660,"20,788,703","1,013","109,862,228",821,"29,170,117",806,"7,709,512",709,"3,963,992",647,"959,658","1,659","49,254,159","1,332","26,780,765","1,044","4,956,310","1,689","29,374,897",612,"6,931,451","1,090","-18,789,264","1,702","-11,857,813",519,"923,365",98,"569,698",260,"7,503,511",420,"2,014,843",20,"1,915,558",433,"101,454,037",451,"103,369,595",432,"55,693,269",30,"-924,492",457,"46,716,022",480,"45,791,530",329,"18,641,488",677,"3,122,478",163,"256,295","2,033","608,924","5,016","4,468","122,477,060"
ACT,2604,"7,464","7,418","623,073,392","6,612","160,501,341","5,843","11,256,661",188,"249,209","6,338","167,481,175",872,"3,847,753","6,145","527,901,695","1,091","3,435,308",99,"3,318,029",91,"2,194,725",290,"1,618,869",240,"2,143,823",161,"1,650,101",692,"28,305,305","4,958","8,113,754",686,"1,175,659","1,987","14,590,347","1,983","6,231,297","7,441","645,926,488","1,731","3,735,546",797,"956,501","1,898","564,876",633,"1,602,090","3,986","4,655,418",434,"331,222",224,"321,605",254,"1,061,870","3,235","2,620,300","3,388","1,929,469","6,235","21,786,813",708,"11,925,412",873,"10,051,350",18,773,"1,023","22,249,800",586,"2,681,773",31,"538,134",10,"29,329",90,"1,188,526",560,"11,392,459",498,"4,037,109",761,"24,220,680",721,"20,611,860",726,"5,614,455",616,"2,661,009",578,"759,823","2,044","45,609,622","1,781","25,005,679","1,263","4,626,826","2,068","26,904,833",633,"4,912,599","1,438","-15,840,315","2,071","-10,927,716",442,"463,147",95,"154,215",113,"2,613,310",394,"1,326,282",17,"498,721",376,"25,743,028",392,"26,241,749",373,"16,165,566",24,"-162,287",403,"9,137,644",426,"8,975,357",237,"2,905,655",541,"2,116,104",164,"246,280","2,531","721,359","5,416","6,023","155,364,315"
ACT,2605,"7,384","7,360","594,014,107","6,381","151,667,039","5,722","10,863,719",136,"168,581","6,028","155,374,320",356,"1,484,175","5,378","426,457,937",965,"3,703,195",123,"3,705,904",81,"1,723,073",208,"1,129,672",450,"3,585,821",230,"2,256,651","1,376","55,530,176","5,122","12,507,288",991,"1,269,223","2,857","22,651,902","2,854","9,702,505","7,371","618,438,442","1,397","2,961,335",621,"726,919","1,553","406,007",413,"1,057,549","3,428","4,266,481",385,"231,728",319,"421,762",405,"1,704,854","3,610","3,811,196","3,478","1,868,125","6,044","23,947,393",637,"11,345,206","1,177","14,346,531",36,"81,672","1,367","36,105,327",767,"4,484,929",43,"934,369",4,"22,515",81,"849,367",779,"11,304,245",691,"3,631,208","1,042","27,650,176",864,"16,978,738",906,"4,158,411",787,"1,615,812",737,"552,316","1,652","37,398,746","1,326","19,474,221","1,048","3,334,459","1,683","21,331,321",621,"5,363,392","1,066","-12,104,647","1,687","-6,741,255",399,"422,696",107,"447,120",167,"4,276,818",520,"2,141,885",22,"768,425",435,"51,413,880",454,"52,182,305",436,"30,665,033",30,"-465,836",459,"21,443,666",483,"20,977,830",298,"7,180,780","1,164","4,508,180",249,"310,988","2,757","819,580","5,761","5,251","123,035,432"
ACT,2606,"6,119","6,093","418,067,925","5,342","96,856,815","4,660","7,502,997",111,"143,795","5,001","100,187,761",372,"1,546,676","4,843","322,623,208",949,"2,616,442",80,"2,129,820",66,"797,738",275,"1,578,343",377,"3,187,140",133,"1,219,654",768,"27,372,974","3,993","6,886,378",555,"463,164","1,542","11,420,236","1,541","4,885,039","6,099","434,512,762","1,332","2,712,434",520,"550,697","1,842","513,564",450,"1,055,337","3,009","3,580,506",259,"185,752",161,"248,971",207,"615,876","2,494","1,713,707","2,628","1,133,685","4,888","16,324,104",558,"9,663,893",752,"7,353,742",11,"-116,049",830,"22,756,149",416,"1,829,337",55,"1,346,758",6,"182,575",71,"681,541",435,"11,015,657",374,"3,534,235",580,"26,857,823",520,"8,024,117",505,"2,352,760",421,"507,775",389,"243,238","1,043","25,740,600",859,"13,889,780",636,"2,433,325","1,056","13,944,178",377,"3,963,949",680,"-8,490,632","1,057","-4,526,683",269,"286,630",61,"93,704",118,"3,332,514",281,"647,625",17,"128,995",318,"33,385,328",335,"33,514,323",312,"21,732,785",19,"-189,182",331,"11,462,542",350,"11,273,360",197,"3,642,276",620,"2,135,150",137,"129,516","2,650","792,174","3,993","4,734","85,358,816"
ACT,2607,"9,132","9,089","642,523,502","7,770","153,858,052","6,921","11,768,209",164,"206,223","7,287","157,713,858",337,"1,278,027","6,555","462,774,230","1,162","4,539,437",109,"3,358,949",78,"2,172,035",316,"1,759,449",601,"4,462,997",261,"2,505,816","1,609","63,543,141","6,014","13,294,732","1,048","1,557,421","3,122","21,870,078","3,115","9,356,243","9,099","668,595,468","1,867","4,061,525",674,"816,006","2,173","563,678",469,"1,003,656","4,032","4,410,242",436,"332,852",340,"437,525",441,"1,571,222","4,067","3,203,658","4,122","1,998,205","7,285","24,945,593",646,"12,208,469","1,207","13,988,018",38,"-1,460,280","1,529","33,544,462",781,"3,033,549",72,"2,683,968",10,"1,097,792",107,"987,526",748,"17,526,098",628,"6,197,471","1,030","40,157,830","1,000","22,103,588",928,"3,840,496",747,"1,105,760",708,"215,513","1,929","45,868,179","1,584","24,622,816","1,302","4,738,673","1,963","24,442,038",676,"6,345,871","1,292","-14,281,219","1,971","-7,935,348",410,"451,342",87,"156,689",195,"5,009,195",552,"1,466,118",26,"433,959",550,"49,062,535",573,"49,496,494",558,"26,769,287",28,"-65,462",580,"21,931,162",604,"21,865,700",355,"6,592,354","1,352","5,186,645",321,"324,666","3,847","1,163,825","6,878","6,381","126,678,735"
ACT,2609,629,623,"38,882,739",546,"8,754,080",490,"706,567",15,"18,154",511,"9,165,557",25,"96,097",495,"28,438,092",109,"625,236",9,"279,539",9,"149,355",47,"300,959",32,"357,990",11,"137,547",32,"970,812",331,"475,620",33,"13,028",110,"1,790,086",110,"767,152",626,"40,763,621",155,"413,289",55,"129,115",299,"85,915",31,"44,715",303,"290,163",16,"6,695",9,"30,193",16,"66,472",200,"105,189",298,"168,523",503,"1,871,582",28,"464,832",58,"492,628",11,"-26,625",94,"3,668,408",24,"100,170",7,"54,359",2,"702,346",8,"72,579",24,"463,866",22,"123,892",36,"1,552,516",56,"3,672,976",33,"207,284",21,"11,233",23,"22,996",114,"4,259,560",96,"1,604,230",67,"333,447",114,"1,556,912",52,"1,485,540",63,"-720,569",115,"764,971",45,"90,136",9,"28,234",10,"162,279",31,"367,158",11,"329,605",45,"7,514,646",56,"7,844,251",56,"7,063,362",11,"-757,383",45,"889,628",56,"132,245",27,"228,288",24,"63,565",13,"16,942",319,"99,519",325,481,"7,004,922"
ACT,2611,"16,330","16,269","1,115,368,764","14,251","254,925,061","12,854","20,544,237",247,"278,572","13,383","261,053,578",859,"3,518,834","12,470","888,845,562","2,042","7,213,103",299,"8,267,762",176,"2,924,019",580,"3,328,610","1,165","8,609,668",441,"4,064,747","2,701","102,320,229","10,771","17,551,885","1,633","1,026,808","5,169","22,033,645","5,157","9,435,419","16,290","1,158,833,287","3,638","7,581,743","1,301","1,356,010","4,131","1,047,241",924,"1,773,851","7,885","8,313,511",747,"460,464",514,"624,874",522,"1,754,147","7,730","6,085,566","7,305","5,052,634","13,388","42,974,928",993,"18,082,827","2,154","21,353,835",56,"-202,991","2,111","37,342,713","1,154","4,036,377",119,"3,292,546",23,"418,627",217,"2,377,307","1,139","12,910,999",934,"3,322,860","1,532","36,160,980","1,531","25,496,949","1,411","5,622,175","1,179","1,521,204","1,069","470,117","2,913","60,317,534","2,441","32,761,030","1,886","6,207,990","2,954","33,794,349",971,"7,806,780","1,993","-20,252,615","2,967","-12,445,835",789,"2,005,857",163,"574,098",288,"6,492,262",966,"2,281,343",48,"1,920,037",979,"74,800,741","1,024","76,720,778","1,001","52,058,640",60,"97,601","1,035","22,896,774","1,091","22,994,375",635,"5,690,559","2,244","8,151,040",514,"502,902","6,689","1,972,143","12,350","12,224","240,492,852"
